10ID,Angle of View,Aperture,Audio Capability,Audio Compression,Auto-Iris,BIMobject category,BIMobject category code,BIMobject main category,BIMobject main category code,Brand url,C RD Back,C RD Bottom,C RD Front,C RD Left,C RD Right,C RD Top,C Rotation,C Tilt,Design country,Edition number,Field of View,Field of View Horizontal,Field of View Vertical,Finish,Focal Length,Frames per Second,Height,IFC Classification,IR Illumination,Length 1 D,Length 1 L,Length 1 R,Length 1 U,Length 2 D,Length 2 U,Lens,Manufacturer country,Manufacturer name,Masterformat 2014 Code,Masterformat 2014 Description,Min. Illumination,Multiple Streams,Nominal height,Nominal width,OmniClass Code,OmniClass Description,OmniClass 標題,OmniClass 編號,ONVIF,Operating Temperature,Power Consumption,Power Source,Product data url,Product family,Product group,Product Guid,Product SKU,Product url,QR code,RD Back,RD Bottom,RD Front,RD Left,RD Right,RD Top,Region Africa,Region Antarctica,Region Asia,Region Europe,Region Middle East,Region North America,Region Oceania,Region South America,Rotation Desired,Sensor Type,Technical description,Tilt Desired,Uniclass 1.4 Code,Uniclass 1.4 Description,Uniclass 2.0 Code,Uniclass 2.0 Description,Uniclass 2015 Code,Uniclass 2015 Name,Uniformat II Code,Uniformat II Description,UNSPSC Code,URL,Video Compression,Video Resolution,WDR Technology,Weight,Weight Net (Kg),Width,品類,描述,數量,族群,族群與類型,樓層,標註,模型,組合代碼,組合描述,製造商,類型,類型標記
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,23.30.10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,門,,1,M_單個嵌平,M_單個嵌平: 0915 x 2134mm,FL1,1,,,,,0915 x 2134mm,10
307470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,23.30.10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,門,,1,M_單個嵌平,M_單個嵌平: 0915 x 2134mm,FL1,2,,,,,0915 x 2134mm,10
307569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,23.30.10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,門,,1,M_單個嵌平,M_單個嵌平: 0915 x 2134mm,FL1,3,,,,,0915 x 2134mm,10
307631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,23.30.10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,門,,1,M_單個嵌平,M_單個嵌平: 0915 x 2134mm,FL1,4,,,,,0915 x 2134mm,10
308589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
308816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
308889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
308932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
308983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
309374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desk,23.40.20.24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_書桌,M_書桌: 1525 x 762mm,FL1,,,,,,1525 x 762mm,
312097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Tables and Cabinets,23.40.20.14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_桌-矩形,M_桌-矩形: 250*120,FL1,,,,,,250*120,
312260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Tables and Cabinets,23.40.20.14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_桌-矩形,M_桌-矩形: 250*120,FL1,,,,,,250*120,
312784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential Tables and Cabinets,23.40.20.14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_桌-矩形,M_桌-矩形: 320*150,FL1,,,,,,320*150,
313547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dining Room Tables,23.40.20.14.17.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_圓形餐桌,M_圓形餐桌: 0915mm 直徑,FL1,,,,,,0915mm 直徑,
314525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
314610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
314685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
314766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
315759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-疊椅,M_椅-疊椅: M_椅-疊椅,FL1,,,,,,M_椅-疊椅,
316597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
316720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
316783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
316854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
316955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
317018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
317439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
317868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
318321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairs,23.40.20.14.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家具,,1,M_椅-行政,M_椅-行政: M_椅-行政,FL1,,,,,,M_椅-行政,
